Номер закладу в АІКОМ,Повна назва закладу,Назва ТГ,Тип простору,Формат роботи,longitude,latitude,hromada id,region name,risk bucket
16047,Пулинський ліцей Пулинської селищної ради Житомирського району Житомирської області,Пулинська,2026 STEM,Очно,28.260927,50.466211,UA18040430000080827,Житомирська,Задовільний
15902,Овруцький ліцей імені Андрія Малишка Овруцької міської ради,Овруцька,2026 STEM,Очно,28.801632,51.323022,UA18060170000069581,Житомирська,Дуже високий
15794,ліцей №1 імені Густава Олізара Коростишівської міської ради,Коростишівська,2026 STEM,Очно,29.062071,50.312867,UA18040250000068141,Житомирська,Задовільний
16107,Малинський міський ліцей №2 Малинської міської ради,Малинська міська територіальна громада,2026 STEM,Очно,29.243477,50.767173,UA18060130000061781,Житомирська,Помірний
15576,«Червоненський ліцей» Червоненської селищної ради Житомирської області,Червоненська,2026 STEM,Очно,28.864209,49.952423,UA18020170000036711,Житомирська,Задовільний
15975,Романівський ліцей №2 Романівської селищної ради Житомирського р-ну Житомирської обл.,Романівська селищна рада Житомирського р-ну Житомирської обл.,2026 STEM,Очно,27.97134160995484,50.0848762755653,UA18040470000074046,Житомирська,Задовільний
15577,Баранівський ліцей №1 Баранівської міської ради,Баранівська міська територіальна громада,2026 STEM,Очно,27.677295,50.294364,UA18080010000090720,Житомирська,Задовільний
15803,Старосілецький ліцей Старосілецької сільської ради Житомирської області,Старосілецька,2026 STEM,Очно,28.988679,50.406457,UA18040510000013419,Житомирська,Помірний
15644,Хорошівський ліцей № 2 Житомирської області,Хорошівська,2026 STEM,Очно,28.445297,50.596009,UA18040570000099817,Житомирська,Задовільний
16076,Комунальний заклад «Чуднівський ліцей» Чуднівської міської ради Житомирської області,Чуднівська міська територіальна громада,2026 STEM,Очно,28.120879,50.050397,UA18040610000049084,Житомирська,Задовільний
16864,Олевський ліцей №2 Олевської міської ради,Олевська міська територіальна громада,2026 STEM,Очно,27.657348,51.214325,UA18060190000071101,Житомирська,Високий
16916,Левківський ліцей Глибочицької сільської ради Житомирського району Житомирської області,Глибочицька,2026 STEM,Очно,28.839173,50.243304,UA18040150000019024,Житомирська,Задовільний
16822,Коростенський міський ліцей №4 Житомирської області,Коростенська міська територіальна громада,2026 STEM,Очно,28.641067,50.947659,UA18060090000061708,Житомирська,Високий
16906,Березівський ліцей Березівської сільської ради Житомирського району Житомирської області,Березівська об’єднана територіальна громада,2026 STEM,Очно,28.432080745697025,50.31491438264403,UA18040030000089649,Житомирська,Задовільний
15693,Ліцей № 1 міста Житомира,Житомирська міська територіальна громада,2026 STEM,Очно,28.609806,50.283503,UA18040190000029215,Житомирська,Помірний
15947,Корнинський ліцей Корнинської селищної ради Житомирського району Житомирської області,Корнинська,2026 STEM,Очно,29.537388,50.083802,UA18040230000036046,Житомирська,Помірний
16920,Новогуйвинський ліцей імені Сергія Процика,Новогуйвинська селищна територіальна,2026 STEM,Очно,28.691085577011112,50.203962015290045,UA18040350000040746,Житомирська,Задовільний
19173,Тячівський ліцей №1 імені В. Ґренджі-Донського Тячівської міської ради Закарпатської області,Тячівська,2026 STEM,Очно,23.574874,48.008174,UA21080150000014443,Закарпатська,Задовільний
18953,Ільницький заклад загальної середньої освіти І-ІІІ ступенів Іршавської міської ради Закарпатської області,Іршавська міська територіальна громада,2026 STEM,Очно,23.082777,48.345438,UA21120130000025618,Закарпатська,Задовільний
19176,Тересвянський ліцей імені Віталія Бенчака Тересвянської селищної ради Тячівського району Закарпатської області,Тересвянська селищна територіальна громада,2026 STEM,Очно,23.691825,48.0010851,UA21080130000093757,Закарпатська,Помірний
19097,Рахівський заклад загальної середньої освіти І-ІІІ ступенів №1 Рахівської міської ради Рахівського району Закарпатської області,Рахівська територіальна громада,2026 STEM,Очно,24.204054,48.055232,UA21060050000029937,Закарпатська,Помірний
18943,Білківський ліцей Білківської сільської ради Хустського району Закарпатської області,Білківська сільська територіальна громада,2026 STEM,Очно,23.1347776,48.311282,UA21120010000011654,Закарпатська,Задовільний
18966,Міжгірський ліцей №1 Міжгірської селищної ради,Міжгірська,2026 STEM,Очно,23.5015821,48.5224731,UA21120190000082169,Закарпатська,Задовільний
19262,Ужгородський ліцей №15 Ужгородської міської ради,Ужгородська ТГ,2026 STEM,Очно,22.28475,48.611963,UA21100230000083101,Закарпатська,Задовільний
19217,Бедевлянський ліцей Бедевлянської сільської ради Тячівського району Закарпатської області,Бедевлянська,2026 STEM,Очно,23.6641706,48.0038883,UA21080010000097427,Закарпатська,Задовільний
5331,Ліцей імені Героїв 68-го батальйону Перечинської міської ради Закарпатської області,Перечинська,2026 STEM,Очно,22.478364,48.735045,UA21100130000055002,Закарпатська,Задовільний
18995,Пилипецький ліцей Пилипецької сільської ради Закарпатської області,Пилипецька,2026 STEM,Очно,23.345768,48.670477,UA21120210000094884,Закарпатська,Задовільний
18957,Кушницький ліцей Керецьківської сільської ради Хустського району Закарпатської області,Керецьківська сільська,2026 STEM,Очно,23.2523261,48.4436453,UA21120150000079563,Закарпатська,Задовільний
18902,Нижньоворітський ліцей Нижньоворітської сільської ради Мукачівського району Закарпатської області,Нижньоворітська,2026 STEM,Очно,23.098381,48.771273,UA21040190000088960,Закарпатська,Задовільний
18720,Концівський ліцей Холмківської сільської ради Ужгородського району Закарпатської області,Холмківська ТГ,2026 STEM,Очно,22.253452,48.575005,UA21100250000028639,Закарпатська,Задовільний
19177,Усть-Чорнянський опорний заклад загальної середньої освіти І-ІІІ ступенів Усть-Чорнянської селищної ради Тячівського району Закарпатської області,Усть-Чорнянська,2026 STEM,Очно,23.942303,48.320215,UA21080190000094580,Закарпатська,Задовільний
18997,Синевирський ліцей Синевирської сільської ради Хустського району Закарпатської області,Синевирська ТГ,2026 STEM,Очно,23.6199768,48.4938845,UA21120230000041982,Закарпатська,Задовільний
18740,Берегівський ліцей імені Лайоша Кошута Берегівської міської ради Закарпатської області,Берегівська міська територіальна громада,2026 STEM,Очно,22.641381,48.204841,UA21020030000019624,Закарпатська,Задовільний
19116,Заклад загальної середньої освіти І-ІІІ ступенів с. Видричка Богданської сільської ради Рахівського району Закарпатської області,Богданська,2026 STEM,Очно,24.336771,48.053786,UA21060010000011784,Закарпатська,Задовільний
5330,Дубриницький ліцей Дубриницької сільської ради Ужгородського району Закарпатської області,Дубриницька сільська територіальна громада,2026 STEM,Очно,22.493357,48.803267,UA21100070000018509,Закарпатська,Задовільний
19129,Середньоводянський ліцей імені академіка Василя Маріни Солотвинської селищної ради Тячівського району Закарпатської області,Солотвинська,2026 STEM,Очно,23.9085558,47.9832425,UA21080110000054940,Закарпатська,Задовільний
18881,Воловецький ліцей Воловецької селищної ради Мукачівського району Закарпатської області,Воловецька селищна територіальна громада,2026 STEM,Очно,23.1822128,48.7152204,UA21040050000032164,Закарпатська,Помірний
19102,Ясінянський заклад загальної середньої освіти І-ІІІ ступенів №2 Ясінянської селищної ради Рахівського району Закарпатської області,Ясінянська територіальна громада,2026 STEM,Очно,24.3514608,48.2594574,UA21060070000049340,Закарпатська,Задовільний
19103,Великобичківський ліцей Великобичківської селищної ради Рахівського району Закарпатської області,Великобичківська ТГ,2026 STEM,Очно,24.02873,47.95694,UA21060030000020114,Закарпатська,Задовільний
19284,Вишківський ліцей №1 Вишківської селищної ради Хустського району Закарпатської області,Вишківська селищна рада,2026 STEM,Очно,23.420454,48.050624,UA21120030000076462,Закарпатська,Задовільний
1584,Запорізький багатопрофільний ліцей № 99 Запорізької міської ради Запорізької області,Запорізька,2026 STEM,Очно,35.042803,47.820921,UA23060070000082704,Запорізька,Дуже високий
11087,Рогатинський ліцей №1 Рогатинської міської ради Івано Франківської області,Рогатинська МТГ,2026 STEM,Очно,24.621852,49.410817,UA26040270000047749,Івано-Франківська,Задовільний
10678,Галицький ліцей імені Ярослава Осмомисла Галицької міської ради Івано-Франківської області,Галицька міська територіальна громада,2026 STEM,Очно,24.735449600827867,49.12329244439197,UA26040090000025932,Івано-Франківська,Задовільний
11157,Рожнятівський ліцей Рожнятівської селищної ради Івано-Франківської області,Рожнятівська територіальна громада Івано-Франківської області,2026 STEM,Очно,24.152380228042603,48.93972574863633,UA26060230000053464,Івано-Франківська,Задовільний
10986,Рожнівський ліцей «Гуцульщина» імені Федора Погребенника Рожнівської сільської ради Косівського району Івано-Франківської області,Рожнівська,2026 STEM,Очно,25.220507,48.366782,UA26100070000078132,Івано-Франківська,Задовільний
10625,Верховинський ліцей Верховинської селищної ради,Верховинська,2026 STEM,Очно,24.83016418824892,48.15602330626012,UA26020030000088465,Івано-Франківська,Задовільний
10589,Солотвинський ліцей Солотвинської селищної ради Івано-Франківського району Івано-Франківської області,Солотвинська селищна територіальна громада,2026 STEM,Очно,24.416524,48.706128,UA26040290000025886,Івано-Франківська,Задовільний
995,Івано-Франківський науковий природничо-математичний ліцей ім.Івана Пулюя Івано-Франківської міської ради,Івано-Франківська міська територіальна громада,2026 STEM,Очно,24.716885,48.923357,UA26040190000081578,Івано-Франківська,Помірний
11055,Пасічнянський ліцей Пасічнянської сільської ради,Пасічнянська сільська територіальна громада,2026 STEM,Очно,24.4441294,48.5735902,UA26120090000072057,Івано-Франківська,Задовільний
11154,Брошнів-Осадський ліцей Брошнів-Осадської селищної ради Калуського району Івано-Франківської області,Брошнів-Осадська селищна рада,2026 STEM,Очно,24.1865855,48.9964997,UA26060030000011364,Івано-Франківська,Помірний
10617,Болехівський ліцей № 1 «Академічний» Болехівської міської ради Івано-Франківської області,Болехівська міська рада Івано-Франківської області,2026 STEM,Очно,23.855113,49.068497,UA26060010000037638,Івано-Франківська,Задовільний
10863,Калуський ліцей №10 Калуської міської ради Івано-Франківської області,Калуська МТГ,2026 STEM,Очно,24.364144,49.0344017,UA26060170000091466,Івано-Франківська,Задовільний
11271,Обертинський ліцей Обертинської селищної ради Івано-Франківського району Івано-Франківської області,Обертинська територіальна громада,2026 STEM,Очно,25.169956684112552,48.69998954084804,UA26040230000035526,Івано-Франківська,Задовільний
10907,Коломийський ліцей №2 Коломийської міської ради Івано-Франківської області,Коломийська міська територіальна громада,2026 STEM,Очно,25.048965,48.535097,UA26080070000092582,Івано-Франківська,Задовільний
11041,"Надвірнянський ліцей ""Престиж"" Надвірнянської міської ради Івано-Франківської області",Надвірнянська міська громада,2026 STEM,Очно,24.568519,48.635611,UA26120070000067596,Івано-Франківська,Задовільний
10718,Городенківський ліцей №1 ім. Івана Данилюка Городенківської міської ради,Городенківська,2026 STEM,Очно,25.505246,48.670174,UA26080030000014307,Івано-Франківська,Задовільний
11313,Яремчанський ліцей №2 Яремчанської міської ради Івано-Франківської області,Яремчанська,2026 STEM,Очно,24.580035,48.473014,UA26120150000021671,Івано-Франківська,Помірний
10754,"Долинський науковий природничо-математичний ліцей ""Інтелект"" Долинської міської ради Івано-Франківської області",Долинська,2026 STEM,Очно,23.965004,48.972035,UA26060130000047466,Івано-Франківська,Задовільний
11035,Ланчинський ліцей імені Юрія Шкрумеляка Ланчинської селищної ради Надвірнянського району Івано-Франківської області,Ланчинська,2026 STEM,Очно,24.753033,48.552348,UA26120050000087602,Івано-Франківська,Задовільний
11280,Олешанський ліцей Олешанської сільської ради Івано-Франкіського району Івано-Франківської області,Олешанська,2026 STEM,Очно,25.136011,48.836184,UA26040250000061081,Івано-Франківська,Задовільний
10577,Богородчанський ліцей №1 імені Олекси Гірника Богородчанської селищної ради,Богородчанська селищна територіальна громада,2026 STEM,Очно,24.53329682350159,48.80831197101941,UA26040030000091528,Івано-Франківська,Задовільний
10943,Печеніжинський ліцей Печеніжинської селищної ради,Печеніжинська,2026 STEM,Очно,24.87886190414429,48.51390724158192,UA26080170000041182,Івано-Франківська,Задовільний
21949,Опорний заклад освіти «Ржищівський ліцей «Лідер» Ржищівської міської ради Київської області,Ржищівська міська територіальна громада,2026 STEM,Очно,31.035158,49.962623,UA32120130000012946,Київська,Помірний
21735,Опорний заклад освіти «Жукинський ліцей» Пірнівської сільської ради Вишгородського району Київської області,Пірнівська,2026 STEM,Очно,30.690672,50.81099,UA32100090000060111,Київська,Високий
21494,Яготинський ліцей № 2 Яготинської міської ради,Яготинська міська територіальна громада,2026 STEM,Очно,31.7814981,50.2439465,UA32040210000086086,Київська,Помірний
21653,Великодимерський ліцей  Великодимерської селищної ради Броварського району Київської області,Великодимерська селищна територіальна громада,2026 STEM,Очно,30.9037661,50.5928129,UA32060070000092009,Київська,Помірний
21682,Броварський ліцей № 7 Броварської міської ради Броварського району Київської області,Броварська МТГ,2026 STEM,Очно,30.794823,50.510793,UA32060050000030591,Київська,Високий
21656,Зазимський ліцей «Академія успіху»,Зазимська територіальна громада,2026 STEM,Очно,30.683297,50.558542,UA32060090000096236,Київська,Високий
21800,Ірпінський ліцей №1 Ірпінської міської ради Бучанського району Київської області,Ірпінська міська територіальнромада,2026 STEM,Очно,30.24055480957032,50.52769691080184,UA32080150000035443,Київська,Високий
21977,Сквирський академічний ліцей Сквирської міської ради Київської області,Сквирська,2026 STEM,Очно,29.652031,49.736619,UA32020150000040878,Київська,Задовільний
22214,Опорний заклад освіти «Білогородський ліцей №1» Білогородської сільської ради Бучанського району Київської області,Білогородська сільська територіальна громада,2026 STEM,Очно,30.231085,50.391649,UA32080010000060215,Київська,Помірний
5534,Опорний заклад освіти «Васильківський академічний ліцей «Престиж» Васильківської міської ради Київської області,Васильківська,2026 STEM,Очно,30.315284,50.208485,UA32120030000030458,Київська,Високий
22047,Тетіївський ліцей №2  Тетіївської міської ради Київської області,Тетіївська,2026 STEM,Очно,29.677867,49.37051,UA32020210000064694,Київська,Задовільний
21608,"Опорний заклад освіти "" Немішаївський ліцей №2"" Немішаївської селищної ради Бучанського району Київської області",Немішаївська,2026 STEM,Очно,30.0852125,50.5566687,UA32080210000074136,Київська,Помірний
18676," Узинський ліцей ""Обдарованість"" Узинської міської ради Київської області",Узинська мтг,2026 STEM,Очно,30.424725167711195,49.825234914515285,UA32020230000012716,Київська,Помірний
22217,ГАТНЕНСЬКИЙ ЛІЦЕЙ ГАТНЕНСЬКОЇ СІЛЬСЬКОЇ РАДИ ФАСТІВСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,Гатненська ТГ,2026 STEM,Очно,30.401181,50.355904,UA32140050000046018,Київська,Помірний
22220,Дмитрівський академічний ліцей «Перспектива» Дмитрівської сільської ради Бучанського району Київської області,Дмитрівська сільська територіальна громада,2026 STEM,Очно,30.171403,50.4605864,UA32080130000056481,Київська,Помірний
22229,ОПОРНИЙ ЗАКЛАД ОСВІТИ «СОФІЇВСЬКО-БОРЩАГІВСЬКИЙ ЛІЦЕЙ» БОРЩАГІВСЬКОЇ СІЛЬСЬКОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,Борщагівська,2026 STEM,Очно,30.361646,50.409672,UA32080050000052660,Київська,Високий
14205,Ліцей інформаційних технологій Олександрійської міської ради Кіровоградської області,Олександрійська міська ТГ,2026 STEM,Очно,33.115001,48.670947,UA35080050000038829,Кіровоградська,Помірний
13843,"Комунальний заклад ""Гайворонський ліцей № 2"" Гайворонської міської ради Кіровоградської  області",Гайворонська міська територіальна громада,2026 STEM,Очно,29.866441,48.340581,UA35020050000014205,Кіровоградська,Помірний
13911,Комунальний заклад «Академічний ліцей Долинської міської ради»,Долинська територіальна громада,2026 STEM,Очно,32.777306,48.114989,UA35040110000055821,Кіровоградська,Високий
5365,Червонокам'янський ліцей Попельнастівської сільської ради Олександрійського району Кіровоградської області,Попельнастівська ТГ,2026 STEM,Очно,33.44195632303266,48.64904394450379,UA35080130000048304,Кіровоградська,Високий
13850,Побузький ліцей Побузької селищної ради Голованівського району Кіровоградської області,Побузька,2026 STEM,Очно,30.593705135914124,48.16438229829677,UA35020190000025203,Кіровоградська,Помірний
18606,Комунальний заклад Добровеличківський ліцей «ІНТЕЛЕКТ» Добровеличківської селищної ради Кіровоградської області,Добровеличківська селищна громада,2026 STEM,Очно,31.176903,48.384754,UA35060050000025668,Кіровоградська,Помірний
19345,Центральноукраїнський науковий ліцей Кіровоградської обласної ради,Кропивницька міська громада,2026 STEM,Очно,32.260999,48.513532,UA35040210000014072,Кіровоградська,Помірний
14215,Павлиський ліцей імені В.О. Сухомлинського Онуфріївської селищної ради Кіровоградської області,Онуфріївська,2026 STEM,Очно,33.3606491665303,48.92376819289698,UA35080070000016791,Кіровоградська,Помірний
13968,Комунальний заклад «Ліцей «Лідер» Кропивницької міської ради»,Кропивницька,2026 STEM,Очно,32.2505474,48.5164234,UA35040210000014072,Кіровоградська,Помірний
13996,Аджамський ліцей Аджамської сільської ради Кропивницького району Кіровоградської області,Аджамська сільська територіальна громада,2026 STEM,Очно,32.539513,48.542131,UA35040010000022631,Кіровоградська,Помірний
14046,"Комунальний заклад ""Злинський ліцей"" Злинської сільської ради",Злинська,2026 STEM,Очно,31.537613,48.491092,UA35060070000071148,Кіровоградська,Помірний
14092,Підвисоцький ліцей ім. Т.Г. Шевченка Голованівського  району Кіровоградської області,Підвисоцька  ТГ,2026 STEM,Очно,30.686935,48.582694,UA35020170000076448,Кіровоградська,Помірний
14008,"Ліцей ""Нова школа"" Катеринівської сільської ради Кропивницького району Кіровоградської області",Катеринівська,2026 STEM,Очно,32.12245702743531,48.56930945848683,UA35040150000097644,Кіровоградська,Помірний
13613,Яворівський ліцей імені Осипа Маковея Яворівської міської ради Львівської області,Яворівська,2026 STEM,Очно,23.390414,49.948017,UA46140110000063568,Львівська,Задовільний
12361,Городоцький навчально-виховний комплекс №2 І-ІІІ ступенів «заклад загальної середньої освіти І ступеня – гімназія» Городоцької міської ради Львівської області,Городоцька ТГ,2026 STEM,Очно,23.6488605,49.784409,UA46060070000047720,Львівська,Задовільний
12899,Моршинський ліцей імені Константина Малецького,Моршинська,2026 STEM,Очно,23.864644,49.155658,UA46100130000048262,Львівська,Задовільний
5452,Буський заклад загальної середньої освіти - Гімназія імені Євгена Петрушевича при Львівському національному університет імені Івана Франка Буської міської ради,Буська територіальна громада,2026 STEM,Очно,24.6100523,49.9625936,UA46040030000058332,Львівська,Задовільний
12964,Бібрський опорний ліцей імені Уляни Кравченко Бібрської міської ради Львівського району Львівської області,Бібрська,2026 STEM,Очно,24.29697453968549,49.64183963015906,UA46060010000049728,Львівська,Задовільний
13556,Новояворівський заклад загальної середньої освіти І-ІІІ ступенів №1 Новояворівської міської ради,Новояворівська,2026 STEM,Очно,23.573697,49.92867,UA46140050000054478,Львівська,Задовільний
12513,Опорний комунальний заклад загальної середньої освіти І-ІІІ ступенів №1 імені Ігоря Калинця м.Ходорів Ходорівської міської ради Львівської області,Ходорівська міська територіальна громада,2026 STEM,Очно,24.321446,49.405952,UA46100270000094052,Львівська,Задовільний
12507,Жидачівський заклад загальної середньої освіти І-ІІІ ступенів №3 ім. О. Партицького Жидачівської міської рада Львівської області,Жидачівська МТГ,2026 STEM,Очно,24.138486,49.389155,UA46100050000053848,Львівська,Задовільний
12296,Східницький заклад загальної середньої освіти І-ІІІ рівнів Східницької селищної ради Дрогобицького району Львівської області,Східницька,2026 STEM,Очно,23.34646,49.22637,UA46020070000056149,Львівська,Задовільний
12445,Підбузький заклад загальної середньої освіти І-ІІІ рівнів Східницької селищної ради Дрогобицького району Львівської області,Східницька,2026 STEM,Очно,23.248525,49.333832,UA46020070000056149,Львівська,Задовільний
13164,Ралівський опорний заклад загальної середньої освіти ім.Івана Франка Ралівської сільської ради Самбірського району Львівської області,Ралівська ТГ,2026 STEM,Очно,23.260536,49.52194,UA46080090000029798,Львівська,Задовільний
12648,Золочівський ліцей Золочівської міської ради Золочівського району Львівської області імені Василя Вишиваного,Золочівська,2026 STEM,Очно,24.898706,49.8037073,UA46040070000032075,Львівська,Задовільний
12702,Добротвірський опорний заклад загальної середньої освіти І–ІІІ ступенів Добротвірської селищної ради Шептицького району Львівської області,Добротвірська територіальна громада,2026 STEM,Очно,24.3839593,50.20274939999999,UA46120050000027080,Львівська,Задовільний
22418,Комунальний заклад Львівської обласної ради «Львівський ліцей з посиленою військово-фізичною підготовкою імені Героїв Крут»,Львівська,2026 STEM,Очно,24.072297513484955,49.82624196771226,UA46060250000025047,Львівська,Високий
13553,Івано-Франківський заклад загальної середньої освіти І-ІІІ ступенів імені Івана Франка Івано-Франківської селищної ради,Івано-Франківська,2026 STEM,Очно,23.723204,49.919257,UA46140010000081849,Львівська,Задовільний
12957,Новороздільський ліцей імені Володимира Труша Новороздільської міської ради Львівської області,Новороздільська ТГ Стрийського району Львівської області,2026 STEM,Очно,24.129117,49.475391,UA46100150000087495,Львівська,Помірний
13340,Старосамбірський опорний заклад загальної середньої освіти І-ІІІ ступенів №1 імені Героя України Богдана Сольчаника Старосамбірської міської ради Самбірського району Львівської області,Cтаросамбірська,2026 STEM,Очно,22.998883,49.440877,UA46080150000050321,Львівська,Задовільний
12366,Комарнівський опорний заклад загальної середньої освіти І-ІІІ ступенів Комарнівської міської ради Львівської області,Комарнівська,2026 STEM,Очно,23.6963001,49.6259442,UA46060210000047788,Львівська,Задовільний
12365,Опорний Великолюбінський заклад загальної середньої освіти І-ІІІ ступенів Великолюбінської селищної ради Львівського району Львівської області,"Великолюбінська  селищна територіальна громада Львівського району, Львівської області",2026 STEM,Очно,23.73128034185357,49.719971947486016,UA46060030000020652,Львівська,Помірний
24392,Судововишнянський ліцей імені Тадея Дмитрасевича Судововишнянської міської ради Яворівського району Львівської області,Судововишнянська,2026 STEM,Очно,23.372833813489155,49.79101034204135,UA46140070000010135,Львівська,Задовільний
13023,Щирецький ліцей імені Героя України Богдана Ільківа Щирецької селищної ради Львівського району Львівської області,Щирецька,2026 STEM,Очно,23.855957,49.65122,UA46060450000037997,Львівська,Задовільний
13277,Заклад загальної середньої освіти І-ІІІ ступенів Сокальський ліцей №1 імені Олега Романіва Сокальської міської ради Львівської області,Сокальська,2026 STEM,Очно,24.277024,50.476737,UA46120110000062257,Львівська,Задовільний
24557,Пустомитівський ліцей імені Митрополита Володимира Стернюка Пустомитівської міської ради Львівського району Львівської області,Пустомитівська ТГ,2026 STEM,Очно,,,UA46060370000065608,Львівська,Помірний
12908,Ліцей №2 м.Мостиська Мостиської міської ради Львівської області,Мостиська,2026 STEM,Очно,23.148884,49.781109,UA46140030000023506,Львівська,Задовільний
12713,Жовтанецький ліцей Жовтанецької сільської ради Львівського району Львівської області,Жовтанецька,2026 STEM,Очно,24.24840331077576,49.99162210769246,UA46060150000060045,Львівська,Задовільний
12823,Ліцей №46 ім.В’ячеслава Чорновола Львівської міської ради,Львівська міська територіальна громада,2026 STEM,Очно,23.991405,49.806842,UA46060250000025047,Львівська,Високий
13040,Підберізцівський ліцей Підберізцівської сільської ради,Підберізцівська,2026 STEM,Очно,24.218095,49.806778,UA46060350000036006,Львівська,Задовільний
12573,Жовківський заклад загальної середньої освіти І-ІІІ ступенів № 2 Жовківської міської ради Львівського району Львівської області,Жовківська,2026 STEM,Очно,23.9837531,50.0571351,UA46060130000059055,Львівська,Задовільний
13342,Заклад загальної середньої освіти І-ІІІ ступенів-ліцей імені Владики Івана Хоми м. Хирів Хирівської міської ради Самбірського району Львівської області,Хирівська ТГ,2026 STEM,Очно,22.85324,49.530752,UA46080210000051983,Львівська,Задовільний
13489,Боринський заклад загальної середньої освіти І-ІІІ ступенів – заклад дошкільної освіти,Боринська,2026 STEM,Очно,22.995362,49.077639,UA46080030000048662,Львівська,Задовільний
5208,Снігурівський ліцей Снігурівської міської ради Баштанського району Миколаївської області,Снігурівська міська територіальна громада,2026 STEM,Очно,32.794895,47.065002,UA48020190000083597,Миколаївська,Дуже високий
5196,Південноукраїнський ліцей № 2 Південноукраїнської міської ради,Південноукраїнська міська територіальна,2026 STEM,Очно,31.17958,47.820177,UA48040250000044166,Миколаївська,Високий
6071,Братський ліцей № 1 Братської селищної ради Вознесенського району Миколаївської області,Братська,2026 STEM,Очно,31.582126,47.865922,UA48040010000016403,Миколаївська,Помірний
8084,Миколаївський ліцей №55 Миколаївської міської ради Миколаївської області,Миколаївська міська територіальна громада,2026 STEM,Очно,31.939411,46.949682,UA48060150000071713,Миколаївська,Дуже високий
4983,Мішково-Погорілівський ліцей Мішково-Погорілівської сільської ради,Мішково-Погорілівська територіальна громада,2026 STEM,Очно,32.12004303932191,46.98934271501495,UA48060170000025778,Миколаївська,Дуже високий
6543,Комунальний заклад «Мішково-Погорілівський обласний академічний ліцей «Інгульський» Миколаївської обласної ради,Мішково-Погорілівська,2026 STEM,Очно,32.1106299,46.9992971,UA48060170000025778,Миколаївська,Дуже високий
5224,Арбузинський ліцей №2 імені Т.Г.Шевченка Арбузинської селищної ради Первомайського району Миколаївської області,Арбузинська,2026 STEM,Очно,31.315433,47.905915,UA48080010000048763,Миколаївська,Помірний
15154,«ОКНЯНСЬКИЙ ОПОРНИЙ ЛІЦЕЙ З ПОЧАТКОВОЮ ШКОЛОЮ ТА ГІМНАЗІЄЮ ОКНЯНСЬКОЇ СЕЛИЩНОЇ РАДИ ПОДІЛЬСЬКОГО РАЙОНУ ОДЕСЬКОЇ ОБЛАСТІ»,Окнянська селищна рада,2026 STEM,Очно,29.469853,47.539945,UA51120150000080138,Одеська,Дуже високий
15337,Затишанський ліцей Роздільнянського району Одеської області,Затишанська,2026 STEM,Очно,29.870484,47.3323687,UA51140050000054980,Одеська,Високий
15344,"Комунальний опорний заклад ""Захарівський ліцей"" Захарівської  селищної ради Роздільнянського району Одеської області",Захарівська територіальна громада,2026 STEM,Очно,29.7619413156727,47.32474509252795,UA51140070000052649,Одеська,Дуже високий
15373,Кілійський ліцей Кілійської міської ради,Кілійська міська територіальна громада Ізмаїльського району Одеської області,2026 STEM,Очно,29.27339315414429,45.45174687098183,UA51080050000022808,Одеська,Помірний
15252,Біляївський ліцей №1 Біляївської міської ради Одеського району Одеської області імені Володимира Івановича Калмика,Біляївська міська територіальна громада,2026 STEM,Очно,30.20233876451446,46.48129961435341,UA51100030000027628,Одеська,Високий
21460,"Комунальна установа ,,Долинський ліцей Долинської сільської ради Одеської області,,",Долинська сільська територіальна громада,2026 STEM,Очно,29.927724,47.528982,UA51120050000071748,Одеська,Помірний
15055,ОПОРНИЙ ЗАКЛАД ОСВІТИ «БОЛГРАДСЬКИЙ ЛІЦЕЙ» БОЛГРАДСЬКОЇ МІСЬКОЇ РАДИ ОДЕСЬКОЇ ОБЛАСТІ,Болградська міська територіальна громада,2026 STEM,Очно,28.618268,45.68856,UA51060030000044366,Одеська,Помірний
15096,"Комунальний заклад ""Роздільнянський міський ліцей №1 Роздільнянської міської ради Одеської області""",Роздільнянська міська територіальна громада,2026 STEM,Очно,30.078704,46.851666,UA51140130000082333,Одеська,Дуже високий
15258,ОПОРНИЙ ЗАКЛАД ВИГОДЯНСЬКИЙ ЛІЦЕЙ ВИГОДЯНСЬКОЇ СІЛЬСЬКОЇ РАДИ,Вигодянська,2026 STEM,Очно,30.401064,46.617081,UA51100090000094901,Одеська,Високий
15423,Бессарабський ліцей Бессарабської селищної ради Одеської області,Бессарабська,2026 STEM,Очно,29.1464952,46.1891882,UA51060170000068967,Одеська,Помірний
23420,Заклад загальної середньої освіти «Авангардівський ліцей» Авангардівської селищної ради,Авангардівська,2026 STEM,Очно,30.6141402,46.467889,UA51100010000023950,Одеська,Високий
15205,Плахтіївський ліцей Плахтіївської сільської ради Білгород-Дністровського району Одеської області,Плахтіївська громада,2026 STEM,Очно,29.720105,46.094424,UA51040170000036391,Одеська,Помірний
15215,ЛІЦЕЙ №1 БЕРЕЗІВСЬКОЇ МІСЬКОЇ РАДИ ОДЕСЬКОЇ ОБЛАСТІ,Березівська,2026 STEM,Очно,30.89709520339966,47.20123103808118,UA51020030000095942,Одеська,Високий
